iter	MultiClass
248	0.04810639513
249	0.0478637031
250	0.04738426472
251	0.0473798799
252	0.04719345302
253	0.04709267839
254	0.04698166295
255	0.04674333456
256	0.04657091624
257	0.04633900588
258	0.04619621305
259	0.04596142566
260	0.04589706333
261	0.04551681534
262	0.04546614343
263	0.0454575535
264	0.04516744008
265	0.04497280411
266	0.04479350801
267	0.04470877927
268	0.04461580997
269	0.0445433641
270	0.04443199993
271	0.0442239201
272	0.04400797125
273	0.04396019816
274	0.04380727022
275	0.0435802541
276	0.04357754005
277	0.04357170785
278	0.0434021272
279	0.04330231209
280	0.04318580028
281	0.04299136918
282	0.04267142858
283	0.04266679147
284	0.04266257168
285	0.04265841805
286	0.04265557895
287	0.04254659627
288	0.0422902167
289	0.042283502
290	0.0420004762
291	0.04178424317
292	0.04177508231
293	0.0416051934
294	0.04140793599
295	0.04132256398
296	0.04115928989
297	0.04114679912
298	0.04094194728
299	0.0407657145
300	0.04074979481
301	0.04064221699
302	0.04056517858
303	0.04052266123
304	0.04039813798
305	0.0402801478
306	0.04027751199
307	0.0401334806
308	0.03994320229
309	0.03971691774
310	0.0396326594
311	0.03961060659
312	0.03934885712
313	0.03934603679
314	0.03934301432
315	0.03916618796
316	0.03903778391
317	0.0388575832
318	0.03877512909
319	0.03865987384
320	0.03840321627
321	0.0383996549
322	0.03830588994
323	0.038303624
324	0.03822138364
325	0.03821604633
326	0.03798637519
327	0.03798142555
328	0.03796319795
329	0.03796100577
330	0.03785186609
331	0.03767311616
332	0.03747652935
333	0.03720278927
334	0.03703863011
335	0.037034873
336	0.03695082783
337	0.03694371572
338	0.03684469573
339	0.03684073822
340	0.03668527763
341	0.03651143403
342	0.03650867708
343	0.03650308624
344	0.03639460712
345	0.03629795017
346	0.03629546436
347	0.03621188644
348	0.03620644285
349	0.03614871019
350	0.03599225028
351	0.03598922214
352	0.03593919204
353	0.03575292336
354	0.03564090111
355	0.03563093971
356	0.03547401842
357	0.03546834593
358	0.03540579224
359	0.03532879703
360	0.03532573794
361	0.0353227152
362	0.03531912605
363	0.03518752786
364	0.0349386572
365	0.03481014142
366	0.03480775378
367	0.03460708833
368	0.03446229017
369	0.03429706028
370	0.03416624065
371	0.03402977576
372	0.03402605959
373	0.03386167671
374	0.03374932623
375	0.03361854472
376	0.03349359986
377	0.03348481878
378	0.0334826222
379	0.03347559105
380	0.03347041306
381	0.03346740083
382	0.03346486642
383	0.0332980733
384	0.0332087654
385	0.03319930385
