iter	MultiClass
0	0.6498727642
1	0.6130083275
2	0.5807112972
3	0.5501357959
4	0.5220253503
5	0.49528287
6	0.4716730463
7	0.4534886319
8	0.4329469403
9	0.4139087385
10	0.3971272084
11	0.3815974951
12	0.3700336341
13	0.3558953522
14	0.3431862249
15	0.3358938039
16	0.3250774834
17	0.3147184771
18	0.3051849366
19	0.2991353344
20	0.2943539741
21	0.2836721102
22	0.2738666987
23	0.2662478972
24	0.2625234131
25	0.2549995285
26	0.2491526161
27	0.2461690371
28	0.2407281116
29	0.2356330928
30	0.229849487
31	0.2263562558
32	0.222144981
33	0.2201532451
34	0.2138450445
35	0.2115324875
36	0.2069583825
37	0.2049657648
38	0.2028847693
39	0.1987415984
40	0.1964123953
41	0.194772627
42	0.1902650033
43	0.1875937682
44	0.1851949182
45	0.1835922503
46	0.181975925
47	0.1808783912
48	0.1792699705
49	0.1757791244
50	0.174518059
51	0.1721559951
52	0.168472738
53	0.1660622909
54	0.1644411708
55	0.1610562475
56	0.1603426581
57	0.1588014596
58	0.1570323834
59	0.1561976821
60	0.1544476504
61	0.152106614
62	0.1510538425
63	0.1504644515
64	0.1499327884
65	0.1483304814
66	0.1475227157
67	0.1466257443
68	0.1438417604
69	0.1420655329
70	0.1412512719
71	0.1402783237
72	0.13972353
73	0.1390981484
74	0.1384328449
75	0.137677682
76	0.136653458
77	0.1359247473
78	0.1350621557
79	0.1345239395
80	0.1338934329
81	0.1329268248
82	0.1322240105
83	0.131375102
84	0.1306693546
85	0.1301300889
86	0.1292842648
87	0.1287385154
88	0.128174569
89	0.1276802153
90	0.1269128853
91	0.1262342432
92	0.1252215131
93	0.1246782191
94	0.1241146961
95	0.1235013023
96	0.1226217876
97	0.1219469923
98	0.1208683615
99	0.1201583619
100	0.1193864498
101	0.1187278126
102	0.1178807064
103	0.1174061056
104	0.1155968859
105	0.1151790365
106	0.1142742577
107	0.1133603536
108	0.1126984684
109	0.1122812691
110	0.1111694553
111	0.1107082583
112	0.1099018161
113	0.1096557147
114	0.1089820959
115	0.1087659549
116	0.1084244554
117	0.1079253107
118	0.1075419015
119	0.1072675265
120	0.1066703656
121	0.1051567304
122	0.1046324622
123	0.1044142231
124	0.1040482671
125	0.1034409426
126	0.102923689
127	0.1025325752
128	0.1018892113
129	0.1014097723
130	0.1009542944
131	0.100556031
132	0.09977956344
133	0.09882278715
134	0.09844926243
135	0.09700098619
136	0.09659650245
137	0.09588596973
138	0.0946177334
139	0.09385337399
140	0.09346365153
141	0.09214194399
142	0.09140788637
143	0.09065805038
144	0.09002222646
145	0.08900019018
146	0.0883579928
147	0.08784329595
148	0.08752536377
149	0.08706476628
150	0.0860438021
151	0.08582487016
152	0.0854221572
153	0.08501522754
154	0.08457596986
155	0.08427083076
156	0.08387000275
157	0.08344757758
158	0.0830094911
159	0.08255485556
160	0.08142535258
161	0.0811246642
162	0.08082284665
163	0.08027020171
164	0.0798149555
165	0.07949819607
166	0.07855857097
167	0.07831984349
168	0.07801200567
169	0.07709768683
170	0.0767767826
171	0.07637074279
172	0.07567413875
173	0.07504986501
174	0.07454504243
175	0.07408767605
176	0.0736036
177	0.07339419407
178	0.07292141386
179	0.07264686917
180	0.07231380663
181	0.07176415617
182	0.07087190118
183	0.07054182239
184	0.06969536774
185	0.06879268453
186	0.06833867706
187	0.06809748961
188	0.0676919439
189	0.06730937802
190	0.0667576621
191	0.06647359421
192	0.06584625971
193	0.06565210219
194	0.06519447634
195	0.06485376301
196	0.06452496687
197	0.06414870919
198	0.06373344371
199	0.06344092163
200	0.06321327978
201	0.06288867661
202	0.06248247277
203	0.06209590573
204	0.06184435133
205	0.0614910948
206	0.06091768661
207	0.06039263801
208	0.06001767144
209	0.05967744581
210	0.0594650097
211	0.05924012422
212	0.05890503069
213	0.05868319877
214	0.05833079806
215	0.05791599253
216	0.05750911457
217	0.05716660821
218	0.05685542073
219	0.0565608616
220	0.05619585112
221	0.05588496184
222	0.05538699407
223	0.05503451094
224	0.05480720343
225	0.05458526784
226	0.05446463927
227	0.05403860189
228	0.05369921955
229	0.05350486986
230	0.05329048291
231	0.05274741535
232	0.0524598994
233	0.05228113595
234	0.05194163173
235	0.05178576867
236	0.05140686853
237	0.05114420911
238	0.05082848976
239	0.05058149038
240	0.05045566827
241	0.05006343924
242	0.0498346345
243	0.04957143535
244	0.04923376203
245	0.04891240015
246	0.04866602779
247	0.04841565456
