iter	Passed	Remaining
401	14151	73856
402	14188	73828
403	14220	73776
404	14258	73759
405	14292	73714
406	14325	73671
407	14358	73622
408	14390	73570
409	14423	73522
410	14458	73488
411	14491	73443
412	14527	73410
413	14563	73381
414	14601	73358
415	14635	73316
416	14667	73266
417	14700	73221
418	14732	73171
419	14765	73124
420	14800	73086
421	14834	73046
422	14868	73006
423	14902	72964
424	14935	72918
425	14971	72891
426	15007	72856
427	15043	72828
428	15083	72813
429	15114	72760
430	15151	72732
431	15184	72688
432	15219	72654
433	15257	72631
434	15292	72595
435	15327	72561
436	15364	72531
437	15396	72484
438	15431	72448
439	15464	72402
440	15495	72348
441	15532	72320
442	15566	72280
443	15598	72230
444	15631	72185
445	15663	72137
446	15697	72097
447	15733	72065
448	15771	72041
449	15805	72001
450	15839	71963
451	15879	71949
452	15914	71914
453	15952	71892
454	15984	71843
455	16022	71819
456	16063	71810
457	16099	71779
458	16135	71746
459	16172	71720
460	16205	71678
461	16244	71657
462	16278	71617
463	16310	71570
464	16340	71512
465	16372	71464
466	16410	71439
467	16444	71401
468	16478	71360
469	16511	71317
470	16546	71279
471	16579	71237
472	16616	71209
473	16649	71165
474	16683	71122
475	16719	71092
476	16753	71051
477	16786	71006
478	16821	70974
479	16857	70940
480	16890	70897
481	16922	70851
482	16965	70845
483	17003	70823
484	17037	70784
485	17073	70754
486	17109	70720
487	17144	70686
488	17179	70650
489	17215	70618
490	17248	70575
491	17283	70538
492	17318	70503
493	17352	70464
494	17387	70427
495	17422	70391
496	17455	70348
497	17489	70309
498	17524	70275
499	17562	70251
500	17599	70222
501	17636	70193
502	17668	70146
503	17707	70127
504	17745	70104
505	17778	70060
506	17811	70016
507	17845	69976
508	17880	69942
509	17914	69900
510	17948	69863
511	17984	69829
512	18022	69805
513	18057	69771
514	18091	69732
515	18127	69699
516	18164	69670
517	18202	69648
518	18238	69615
519	18271	69572
520	18306	69535
521	18344	69510
522	18380	69481
523	18419	69459
524	18454	69425
525	18488	69383
526	18521	69341
527	18554	69298
528	18590	69265
529	18624	69226
530	18659	69189
531	18691	69142
532	18725	69105
533	18760	69070
534	18795	69035
535	18836	69019
536	18872	68988
537	18904	68940
538	18938	68903
539	18971	68860
540	19004	68817
541	19038	68779
542	19074	68746
543	19106	68700
544	19141	68664
545	19181	68646
546	19214	68603
547	19253	68580
548	19286	68537
549	19320	68501
550	19358	68475
551	19393	68437
552	19427	68399
553	19463	68367
554	19501	68342
555	19538	68313
556	19572	68275
557	19611	68253
558	19647	68220
559	19683	68189
560	19719	68157
561	19753	68118
562	19788	68081
563	19821	68041
564	19854	67998
565	19887	67954
566	19920	67913
567	19952	67864
568	19989	67837
569	20026	67808
570	20063	67779
571	20101	67753
572	20139	67728
573	20173	67688
574	20204	67642
